file_id,ref_intro_per_utt,ref_maint_per_utt,ref_reintro_per_utt,ref_ambig_pron_per_utt
asd_Flusberg_030400,0.0276,0.0166,0.0,0.116
asd_Flusberg_030806,0.0098,0.0,0.0196,0.0686
asd_Flusberg_030900,0.0403,0.0081,0.0,0.0726
asd_Flusberg_040028,0.0219,0.0146,0.0036,0.1642
asd_Flusberg_040029,0.0162,0.0065,0.0,0.1197
asd_Flusberg_040306,0.0046,0.0,0.0046,0.1284
asd_Flusberg_040521,0.0044,0.0087,0.0044,0.048
asd_Flusberg_040700,0.0266,0.0465,0.0233,0.0465
asd_Flusberg_040715,0.0045,0.0,0.0,0.0727
asd_Flusberg_041007,0.0153,0.0026,0.0077,0.243
asd_Flusberg_050006,0.019,0.0095,0.0063,0.181
asd_Flusberg_050218,0.0125,0.0125,0.0063,0.163
asd_Flusberg_050620,0.0215,0.0123,0.0092,0.1015
asd_Flusberg_050904,0.0,0.0,0.0,0.1849
asd_Flusberg_051002,0.0149,0.0269,0.0149,0.2627
asd_Flusberg_051104,0.026,0.013,0.0,0.0325
asd_Flusberg_060011,0.0186,0.0316,0.026,0.184
asd_Flusberg_060107,0.02,0.0167,0.0233,0.1633
asd_Flusberg_060207,0.0123,0.0049,0.0074,0.2064
asd_Flusberg_060406,0.0115,0.0161,0.0,0.1583
asd_Flusberg_060522,0.0036,0.0,0.0,0.2518
asd_Flusberg_060622,0.0178,0.0237,0.0257,0.1186
asd_Flusberg_060818,0.0072,0.012,0.012,0.1851
asd_Flusberg_060819,0.0213,0.0021,0.0,0.2489
asd_Flusberg_060900,0.0305,0.0267,0.0,0.1031
asd_Flusberg_070013,0.0291,0.0364,0.0145,0.2655
asd_Flusberg_070101,0.0245,0.0054,0.0136,0.1984
asd_Flusberg_070106,0.0407,0.0339,0.0237,0.0271
asd_Flusberg_070215,0.0317,0.0634,0.0317,0.1197
asd_Flusberg_070301,0.0188,0.0023,0.0023,0.2911
asd_Flusberg_070315,0.0143,0.0095,0.0,0.1381
asd_Flusberg_070503,0.0,0.0,0.0,0.4218
asd_Flusberg_070516,0.0479,0.0691,0.0266,0.0798
asd_Flusberg_070517,0.0348,0.0139,0.0105,0.23
asd_Flusberg_070700,0.0189,0.0,0.0,0.0644
asd_Flusberg_071001,0.0335,0.0335,0.0274,0.0823
asd_Flusberg_080012,0.0498,0.1682,0.0592,0.0213
asd_Flusberg_080121,0.0567,0.0283,0.0324,0.0526
asd_Flusberg_080221,0.0542,0.0764,0.0296,0.064
asd_Flusberg_080506,0.0592,0.0732,0.0507,0.0479
asd_Flusberg_080808,0.0423,0.1534,0.0212,0.0688
asd_Flusberg_090126,0.0214,0.0107,0.0142,0.0285
asd_Flusberg_090320,0.0247,0.0192,0.011,0.0384
asd_Flusberg_090818,0.0324,0.0118,0.0029,0.0501
asd_Nadig_101,0.0,0.0,0.0,0.1818
asd_Nadig_103,0.0,0.0,0.0,0.25
asd_Nadig_109,0.0123,0.0,0.0,0.3086
asd_Nadig_117,0.04,0.0,0.0,0.312
asd_Nadig_121,0.0286,0.0286,0.0095,0.1238
asd_Nadig_123,0.037,0.0,0.0,0.2222
asd_Nadig_124,0.0,0.0,0.0,0.1954
asd_Nadig_125,0.0136,0.0272,0.0136,0.0068
asd_Nadig_126,0.0211,0.0105,0.0316,0.0105
asd_Nadig_132,0.0088,0.0,0.0088,0.2832
asd_Nadig_135,0.051,0.051,0.051,0.051
asd_Nadig_139,0.0326,0.0543,0.0,0.1196
asd_Nadig_141,0.06,0.02,0.05,0.11
asd_Nadig_143,0.0305,0.0,0.0305,0.1069
asd_Nadig_149,0.019,0.019,0.019,0.0286
asd_Nadig_157,0.0216,0.0432,0.0432,0.0504
asd_Rollins_020200,0.0,0.0,0.0,0.0
asd_Rollins_020600,0.0,0.0,0.0,0.0
asd_Rollins_021000,0.0,0.0,0.0,0.0
asd_Rollins_021100,0.0,0.0,0.0,0.0172
asd_Rollins_030000,0.0227,0.0,0.0,0.0076
asd_Rollins_030200,0.0,0.0,0.0,0.0
asd_Rollins_030300,0.0,0.0,0.0,0.0
asd_Rollins_030500,0.0,0.0,0.0,0.0192
asd_Rollins_030600,0.0,0.0,0.0,0.0292
asd_Rollins_030800,0.0037,0.0,0.0,0.0149
asd_Rollins_031100,0.0052,0.0052,0.0026,0.0052
